TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2003,03,16,14,05,2XX MAIN ST,Central Business District,492754.43,5458937.69
Theft from Vehicle,2003,04,25,00,00,2XX MAIN ST,Strathcona,492763.56,5458937.21
Break and Enter Residential/Other,2003,08,23,16,15,1XX E CORDOVA ST,Central Business District,492585.36,5458852.52
Theft from Vehicle,2003,01,05,07,00,43XX ATLIN ST,Renfrew-Collingwood,496666.53,5454823.02
Theft of Vehicle,2003,10,10,01,30,52XX INVERNESS ST,Kensington-Cedar Cottage,494163.6,5453851.19
Theft of Vehicle,2003,04,03,05,48,52XX INVERNESS ST,Kensington-Cedar Cottage,494163.6,5453851.19
Theft from Vehicle,2003,12,11,09,15,2XX MAIN ST,Strathcona,492763.56,5458937.21
Theft of Vehicle,2003,06,09,17,00,52XX INVERNESS ST,Kensington-Cedar Cottage,494154.39,5453846.72
Theft from Vehicle,2003,03,12,03,00,7XX SEYMOUR ST,Central Business District,491477.85,5458783.04
Break and Enter Commercial,2003,11,05,05,50,11XX ROBSON ST,West End,490842.84,5459185.55
Offence Against a Person,2003,01,05,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,06,04,03,43,51XX RUPERT ST,Renfrew-Collingwood,497060.72,5453919.41
Theft from Vehicle,2003,01,09,11,30,11XX MELVILLE ST,Central Business District,491117.69,5459313.04
Theft from Vehicle,2003,05,18,15,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Offence Against a Person,2003,03,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,05,27,14,54,6XX W 41ST AVE,Oakridge,491372.94,5453422.83
Break and Enter Commercial,2003,10,28,05,35,11XX ROBSON ST,West End,490851.29,5459177.12
Theft from Vehicle,2003,09,17,23,00,9XX W 20TH AVE,South Cambie,490926.78,5455636.31
Theft of Vehicle,2003,03,23,10,00,52XX ELGIN ST,Kensington-Cedar Cottage,493921.27,5453870.2
Break and Enter Commercial,2003,05,21,05,30,11XX ROBSON ST,West End,490856.91,5459171.5
Break and Enter Commercial,2003,06,02,06,25,11XX ROBSON ST,West End,490856.91,5459171.5
Theft of Bicycle,2003,07,09,22,30,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.52,5458920.98
Theft of Vehicle,2003,03,17,20,00,52XX ELGIN ST,Kensington-Cedar Cottage,493921.27,5453870.2
Mischief,2003,07,03,06,11,8XX CHILCO ST,West End,489922.07,5460071.08
Break and Enter Commercial,2003,10,13,19,00,11XX ROBSON ST,West End,490858.89,5459156.6
Theft from Vehicle,2003,05,16,07,46,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Break and Enter Residential/Other,2003,05,06,10,30,34XX FOSTER AVE,Renfrew-Collingwood,497831.73,5453476.62
Theft of Vehicle,2003,01,08,23,15,52XX DUNDEE ST,Renfrew-Collingwood,496537.8,5453793.92
Break and Enter Residential/Other,2003,05,21,06,00,34XX FOSTER AVE,Renfrew-Collingwood,497831.73,5453476.62
Theft from Vehicle,2003,05,13,12,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,12,26,14,48,ROBSON ST / THURLOW ST,West End,490920.42,5459101.61
Theft of Vehicle,2003,01,03,23,00,52XX DUNDEE ST,Renfrew-Collingwood,496537.8,5453793.92
Break and Enter Commercial,2003,09,29,21,00,11XX ROBSON ST,West End,490870.14,5459145.36
Theft from Vehicle,2003,04,12,16,30,7XX SEYMOUR ST,Central Business District,491433.61,5458751.22
Theft from Vehicle,2003,02,13,23,06,2XX N GARDEN DR,Grandview-Woodland,495797.76,5459345.76
Break and Enter Commercial,2003,08,17,02,00,11XX ROBSON ST,West End,490870.98,5459157.45
Theft from Vehicle,2003,09,19,20,30,ROBSON ST / THURLOW ST,West End,490920.42,5459101.61
Offence Against a Person,2003,08,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,03,02,21,30,11XX ROBSON ST,West End,490873.79,5459154.64
Break and Enter Commercial,2003,09,28,06,32,11XX ROBSON ST,West End,490873.79,5459154.64
Theft from Vehicle,2003,05,12,16,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,07,27,17,30,ROBSON ST / THURLOW ST,West End,490920.42,5459101.61
Offence Against a Person,2003,03,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,02,10,20,39,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Mischief,2003,07,17,10,15,14XX NELSON ST,West End,490292.82,5459254.37
Break and Enter Residential/Other,2003,09,22,23,20,1XX E HASTINGS ST,Central Business District,492668.0,5458735.53
Theft from Vehicle,2003,07,08,10,10,ROBSON ST / THURLOW ST,West End,490920.42,5459101.61
Other Theft,2003,05,12,14,50,7XX THURLOW ST,West End,490975.8,5459163.59
Theft from Vehicle,2003,05,07,17,31,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,04,13,15,00,7XX SEYMOUR ST,Central Business District,491422.52,5458739.98
Theft of Vehicle,2003,08,24,21,13,52XX CULLODEN ST,Kensington-Cedar Cottage,494246.7,5453873.53
Theft from Vehicle,2003,05,23,17,00,ROBSON ST / THURLOW ST,West End,490920.42,5459101.61
Theft of Vehicle,2003,01,02,22,00,52XX CULLODEN ST,Kensington-Cedar Cottage,494236.5,5453826.32
Theft from Vehicle,2003,09,04,21,00,43XX BLENHEIM ST,Dunbar-Southlands,486997.53,5454974.0
Offence Against a Person,2003,09,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,14,17,30,ROBSON ST / THURLOW ST,West End,490920.42,5459101.61
Break and Enter Commercial,2003,05,13,19,00,11XX ROBSON ST,West End,490901.93,5459126.54
Offence Against a Person,2003,07,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,05,02,10,00,34XX FOSTER AVE,Renfrew-Collingwood,497855.08,5453476.57
Offence Against a Person,2003,08,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,19,11,00,7XX BURRARD ST,Central Business District,491194.45,5459074.7
Theft from Vehicle,2003,04,18,18,30,43XX CAMBIE ST,South Cambie,491572.29,5454838.52
Theft from Vehicle,2003,10,03,12,00,43XX CAMBIE ST,Riley Park,491613.38,5454859.52
Theft from Vehicle,2003,02,11,22,00,2XX N NANAIMO ST,Grandview-Woodland,495885.12,5459365.08
Theft from Vehicle,2003,10,03,22,00,43XX CAMBIE ST,Riley Park,491613.38,5454859.52
Mischief,2003,03,04,18,16,2XX PRIOR ST,Strathcona,492824.17,5458218.56
Break and Enter Residential/Other,2003,03,17,15,15,5XX W 7TH AVE,Fairview,491623.25,5456914.33
Break and Enter Commercial,2003,11,07,21,00,11XX ROBSON ST,West End,490910.37,5459118.11
Mischief,2003,03,15,04,28,2XX PRIOR ST,Strathcona,492824.17,5458218.56
Offence Against a Person,2003,09,03,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2003,08,03,16,30,DUNSMUIR ST / GRANVILLE ST,Central Business District,491535.6,5458993.22
Theft of Bicycle,2003,10,28,13,49,DUNLEVY AVE / E HASTINGS ST,Strathcona,493061.11,5458728.9
Theft from Vehicle,2003,04,02,18,30,2XX N RENFREW ST,Hastings-Sunrise,496800.43,5459335.82
Mischief,2003,06,04,22,08,39XX POINT GREY RD,West Point Grey,486117.39,5457634.11
Mischief,2003,05,28,17,00,2XX PRIOR ST,Strathcona,492824.17,5458218.56
Offence Against a Person,2003,04,06,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,09,15,45,2XX N RENFREW ST,Hastings-Sunrise,496800.43,5459335.82
Theft from Vehicle,2003,06,18,08,30,2XX N RENFREW ST,Hastings-Sunrise,496800.43,5459335.82
Theft from Vehicle,2003,09,01,21,00,2XX N RENFREW ST,Hastings-Sunrise,496800.43,5459335.82
Theft from Vehicle,2003,12,12,18,30,2XX N RENFREW ST,Hastings-Sunrise,496800.43,5459335.82
Theft from Vehicle,2003,06,27,11,00,7XX BURRARD ST,Central Business District,491194.45,5459074.7
Offence Against a Person,2003,10,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,05,24,16,00,1XX E HASTINGS ST,Central Business District,492674.89,5458735.3
Break and Enter Residential/Other,2003,06,16,23,00,1XX E HASTINGS ST,Central Business District,492674.89,5458735.3
Mischief,2003,02,16,20,00,14XX NELSON ST,West End,490291.24,5459268.7
Offence Against a Person,2003,06,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,11,16,14,00,33XX W 6TH AVE,Kitsilano,486990.38,5457127.54
Theft from Vehicle,2003,05,31,15,00,2XX N SLOCAN ST,Hastings-Sunrise,496418.54,5459337.14
Theft from Vehicle,2003,05,06,07,40,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Mischief,2003,06,20,16,30,2XX PRIOR ST,Strathcona,492824.17,5458218.56
Mischief,2003,01,05,03,00,14XX NAPIER ST,Grandview-Woodland,494511.26,5458015.08
Break and Enter Residential/Other,2003,05,29,08,45,69XX MAIN ST,Sunset,492593.9,5452077.82
Theft of Vehicle,2003,12,12,23,00,52XX BLENHEIM ST,Dunbar-Southlands,486999.42,5454091.05
Theft from Vehicle,2003,05,26,21,30,43XX COMMERCIAL ST,Kensington-Cedar Cottage,495067.29,5454840.69
Offence Against a Person,2003,08,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,08,17,22,00,51XX WALES ST,Renfrew-Collingwood,496228.78,5453880.54
Theft from Vehicle,2003,01,04,22,35,2XX N TEMPLETON DR,Grandview-Woodland,495655.41,5459338.66
Theft of Vehicle,2003,05,27,09,00,520O RUPERT ST,Hastings-Sunrise,497560.71,5458575.92
Theft from Vehicle,2003,05,06,07,15,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,05,06,06,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,03,16,20,00,33XX W 6TH AVE,Kitsilano,487061.3,5457126.16
Theft from Vehicle,2003,05,05,22,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Break and Enter Commercial,2003,11,07,04,53,11XX SEYMOUR ST,Central Business District,490976.87,5458277.42
Theft from Vehicle,2003,05,04,08,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,01,01,21,30,11XX COMMERCIAL DR,Grandview-Woodland,494945.36,5457964.36
Theft from Vehicle,2003,04,21,20,00,43XX DUMFRIES ST,Kensington-Cedar Cottage,494660.45,5454868.68
Theft from Vehicle,2003,09,13,22,30,2XX N TEMPLETON DR,Grandview-Woodland,495664.27,5459325.58
Break and Enter Residential/Other,2003,01,25,12,30,51XX WALES ST,Renfrew-Collingwood,496228.93,5453869.43
Theft of Bicycle,2003,01,23,02,00,DUNBAR ST / W 30TH AVE,Dunbar-Southlands,486517.45,5454733.56
Mischief,2003,05,15,08,00,9XX W 22ND AVE,South Cambie,490912.91,5455445.79
Theft from Vehicle,2003,01,10,21,50,7XX SEYMOUR ST,Central Business District,491417.93,5458722.31
Offence Against a Person,2003,03,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,04,14,20,44,2XX RAYMUR AVE,Strathcona,494014.08,5458879.15
Mischief,2003,05,27,01,08,2XX RAYMUR AVE,Strathcona,494014.08,5458879.15
Theft from Vehicle,2003,04,03,15,00,33XX W 7TH AVE,Kitsilano,486990.88,5457031.2
Break and Enter Residential/Other,2003,10,31,08,00,52XX ABERDEEN ST,Renfrew-Collingwood,498004.55,5453818.84
Break and Enter Residential/Other,2003,12,29,11,46,52XX ABERDEEN ST,Renfrew-Collingwood,498004.55,5453818.84
Theft from Vehicle,2003,08,16,03,00,10XX W 53RD AVE,Oakridge,490636.4,5452228.77
Theft of Vehicle,2003,08,01,20,30,51XX SPENCER ST,Renfrew-Collingwood,497203.17,5453935.22
Offence Against a Person,2003,11,12,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2003,07,29,09,00,15XX W 12TH AVE,Fairview,489844.15,5456464.05
Theft from Vehicle,2003,04,27,15,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,08,16,22,00,88XX GRANVILLE ST,Marpole,489761.37,5450340.93
Theft of Vehicle,2003,12,10,23,00,51XX SHERBROOKE ST,Kensington-Cedar Cottage,494085.07,5453929.82
Break and Enter Commercial,2003,02,13,02,00,11XX UNION ST,Strathcona,494091.87,5458294.47
Theft of Vehicle,2003,11,15,22,30,51XX SHERBROOKE ST,Kensington-Cedar Cottage,494085.07,5453929.82
Mischief,2003,03,11,17,00,9XX W 22ND AVE,South Cambie,490769.25,5455440.84
Break and Enter Commercial,2003,09,23,20,00,11XX UNION ST,Strathcona,494133.51,5458284.19
Theft from Vehicle,2003,06,28,16,00,43XX DUNBAR ST,Dunbar-Southlands,486523.55,5455044.77
Theft from Vehicle,2003,08,20,06,30,10XX PACIFIC BLVD,Central Business District,491358.53,5457977.64
Theft of Vehicle,2003,05,16,14,30,51XX RUBY ST,Renfrew-Collingwood,498023.4,5453995.96
Theft of Bicycle,2003,03,27,01,00,15XX W 11TH AVE,Fairview,489884.86,5456563.95
Theft of Vehicle,2003,02,26,13,15,51XX RUBY ST,Renfrew-Collingwood,497965.78,5453904.59
Theft from Vehicle,2003,12,01,00,00,43XX ELGIN ST,Kensington-Cedar Cottage,493983.8,5454797.89
Mischief,2003,11,03,17,15,E 41ST AVE / VICTORIA DR,Victoria-Fraserview,495229.76,5453325.75
Theft from Vehicle,2003,04,27,13,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Mischief,2003,05,24,19,15,46XX SIDNEY ST,Kensington-Cedar Cottage,495359.95,5454631.68
Theft from Vehicle,2003,10,08,18,00,33XX W 7TH AVE,Kitsilano,487058.25,5457038.47
Theft from Vehicle,2003,03,07,00,00,33XX W 8TH AVE,Kitsilano,487057.42,5456938.42
Theft from Vehicle,2003,04,18,19,00,2XX NANAIMO ST,Hastings-Sunrise,495892.99,5458912.26
Break and Enter Residential/Other,2003,07,31,05,00,34XX FRANKLIN ST,Hastings-Sunrise,497890.97,5458808.09
Theft from Vehicle,2003,01,14,20,00,43XX FLEMING ST,Kensington-Cedar Cottage,494749.08,5454799.95
Theft from Vehicle,2003,08,18,18,00,43XX FLEMING ST,Kensington-Cedar Cottage,494749.08,5454799.95
Offence Against a Person,2003,03,16,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,01,00,00,2XX NANAIMO ST,Hastings-Sunrise,495892.99,5458912.26
Theft from Vehicle,2003,04,27,12,15,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Break and Enter Commercial,2003,06,09,20,00,11XX VICTORIA DR,Grandview-Woodland,495218.86,5457950.99
Break and Enter Residential/Other,2003,09,10,23,29,5XX W 8TH AVE,Fairview,491504.96,5456832.98
Break and Enter Residential/Other,2003,07,20,20,00,8XX PRINCESS AVE,Strathcona,493328.47,5458266.14
Break and Enter Residential/Other,2003,03,12,17,00,69XX MARGUERITE ST,Kerrisdale,489422.55,5452141.95
Offence Against a Person,2003,02,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,10,18,22,30,33XX W 8TH AVE,Kitsilano,487057.42,5456938.42
Mischief,2003,12,14,23,19,57XX COMMERCIAL ST,Victoria-Fraserview,494992.26,5453226.98
Theft from Vehicle,2003,10,10,15,30,4XX NANAIMO ST,Hastings-Sunrise,495892.1,5458709.07
Theft from Vehicle,2003,04,26,09,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Mischief,2003,08,09,19,00,14XX MAPLE ST,Kitsilano,489080.57,5457870.24
Theft from Vehicle,2003,04,26,07,51,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft of Vehicle,2003,08,29,17,30,51XX MACDONALD ST,Arbutus Ridge,487772.44,5454190.36
Theft from Vehicle,2003,04,20,15,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft of Bicycle,2003,08,22,16,00,15XX W 11TH AVE,Fairview,489762.91,5456557.11
Break and Enter Residential/Other,2003,10,05,11,15,1XX E PENDER ST,Central Business District,492571.01,5458632.27
Theft from Vehicle,2003,04,20,13,50,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Break and Enter Commercial,2003,05,22,23,00,11XX W 12TH AVE,Fairview,490560.0,5456441.88
Theft from Vehicle,2003,04,20,09,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,11,30,05,00,43XX FRASER ST,Riley Park,493430.79,5454854.36
Mischief,2003,01,10,19,55,25XX E HASTINGS ST,Hastings-Sunrise,496039.74,5458709.33
Theft from Vehicle,2003,04,19,22,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,12,02,19,00,GRANDVIEW HWY / RUPERT ST,Renfrew-Collingwood,497535.95,5456151.8
Theft of Bicycle,2003,01,31,14,30,15XX W 11 AV,Fairview,489908.37,5456554.36
Theft of Vehicle,2003,01,08,18,00,51XX JOYCE ST,Renfrew-Collingwood,497683.21,5453934.94
Mischief,2003,06,26,22,00,44XX QUEBEC ST,Riley Park,492541.29,5454741.08
Break and Enter Residential/Other,2003,06,23,21,00,1XX E WATERFRONT RD,Central Business District,492593.87,5459090.51
Break and Enter Residential/Other,2003,10,07,10,00,6XX W 8TH AVE,Fairview,491394.97,5456836.52
Theft of Bicycle,2003,10,22,23,00,DAVIE ST / THURLOW ST,West End,490456.65,5458633.77
Mischief,2003,11,08,22,45,10XX MAINLAND ST,Central Business District,491343.94,5458205.82
Mischief,2003,03,11,15,30,10XX MAINLAND ST,Central Business District,491343.94,5458205.82
Break and Enter Commercial,2003,07,23,12,00,11XX W 13TH AVE,Fairview,490547.85,5456327.92
Theft from Vehicle,2003,11,18,21,30,9XX W 21ST AVE,South Cambie,490772.46,5455549.99
Break and Enter Residential/Other,2003,11,28,09,15,1XX GARDEN DR,Grandview-Woodland,495794.35,5458989.49
Mischief,2003,12,25,08,36,10XX MAINLAND ST,Central Business District,491335.28,5458210.02
Mischief,2003,07,13,00,52,2XX RENFREW ST,Hastings-Sunrise,496805.2,5458908.53
Theft from Vehicle,2003,12,16,23,30,11XX COMMERCIAL DR,Grandview-Woodland,494936.16,5457958.87
Mischief,2003,01,08,14,00,9XX W 20TH AVE,South Cambie,490760.71,5455651.45
Theft from Vehicle,2003,11,20,00,00,4XX NANAIMO ST,Hastings-Sunrise,495892.1,5458709.07
Break and Enter Commercial,2003,09,19,17,00,11XX W 6TH AVE,Fairview,490481.99,5457038.3
Offence Against a Person,2003,01,23,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,10,06,14,00,14XX LAMEYS MILL RD,Fairview,490138.63,5457207.47
Break and Enter Residential/Other,2003,04,26,03,00,1XX JACKSON AVE,Strathcona,493218.14,5459006.52
Theft of Bicycle,2003,01,16,00,00,15XX VINE ST,Kitsilano,488547.79,5457738.53
Mischief,2003,12,05,17,00,10XX MAINLAND ST,Central Business District,491335.28,5458210.02
Mischief,2003,01,18,18,00,14XX LAMEYS MILL RD,Fairview,490094.29,5457244.96
Mischief,2003,01,18,15,30,14XX LAMEYS MILL RD,Fairview,490094.29,5457244.96
Theft from Vehicle,2003,09,18,18,00,9XX W 21ST AVE,South Cambie,490922.96,5455536.74
Theft from Vehicle,2003,05,09,19,00,HEATHER ST / W 14TH AVE,Fairview,491263.93,5456211.8
Mischief,2003,08,25,05,15,10XX MAINLAND ST,Central Business District,491333.57,5458195.07
Theft from Vehicle,2003,06,15,18,00,43XX HEATHER ST,South Cambie,491238.53,5454928.31
Offence Against a Person,2003,12,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,19,10,45,2XX NATIONAL AVE,Strathcona,492932.92,5457960.74
Theft from Vehicle,2003,05,04,13,03,2XX NELSON ST,Central Business District,491399.07,5458157.81
Mischief,2003,10,24,15,00,14XX LAMEYS MILL RD,Fairview,490007.44,5457361.38
Theft of Bicycle,2003,08,19,16,00,DAVIE ST / RICHARDS ST,Central Business District,490961.81,5458133.41
Theft of Bicycle,2003,08,14,09,30,DAVIE ST / RICHARDS ST,Central Business District,490961.81,5458133.41
Theft of Bicycle,2003,06,08,00,00,15XX VICTORIA DR,Grandview-Woodland,495212.86,5457581.38
Break and Enter Residential/Other,2003,10,19,00,00,1XX KEEFER PL,Central Business District,492122.64,5458572.11
Mischief,2003,06,03,08,46,14XX LAMEYS MILL RD,Fairview,490007.44,5457361.38
Offence Against a Person,2003,03,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,12,08,19,15,11XX W 7TH AVE,Fairview,490541.77,5456951.4
Theft from Vehicle,2003,09,12,21,00,43XX JERICHO CIRC,West Point Grey,485243.18,5457432.6
Theft from Vehicle,2003,06,04,02,30,2XX NELSON ST,Central Business District,491399.07,5458157.81
Mischief,2003,03,28,08,21,14XX LAMEYS MILL RD,Fairview,490007.44,5457361.38
Theft of Vehicle,2003,04,11,17,30,51XX GASTON ST,Renfrew-Collingwood,497822.22,5453836.68
Theft of Vehicle,2003,01,17,00,30,51XX GASTON ST,Renfrew-Collingwood,497822.22,5453836.68
Theft from Vehicle,2003,08,18,17,30,33XX W BROADWAY AVE,Kitsilano,486983.86,5456852.31
Theft from Vehicle,2003,04,19,18,10,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,05,12,16,36,9XX W 22 AV,South Cambie,490871.4,5455447.01
Offence Against a Person,2003,08,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2003,05,23,00,00,15XX VICTORIA DR,Grandview-Woodland,495212.86,5457581.38
Mischief,2003,08,19,08,05,4XX GORE AVE,Strathcona,492916.48,5458728.39
Break and Enter Residential/Other,2003,09,10,18,55,52XX CHAMBERS ST,Renfrew-Collingwood,496145.85,5453832.16
Theft from Vehicle,2003,06,07,21,00,2XX NELSON ST,Central Business District,491399.07,5458157.81
Break and Enter Residential/Other,2003,02,27,12,59,1XX MAIN ST,Central Business District,492758.57,5459018.57
Theft from Vehicle,2003,06,14,20,30,2XX NELSON ST,Central Business District,491399.07,5458157.81
Mischief,2003,05,23,22,00,39XX POINT GREY RD,West Point Grey,486117.39,5457634.11
Mischief,2003,12,26,17,20,49XX VICTORIA DR,Kensington-Cedar Cottage,495235.98,5454073.58
Theft from Vehicle,2003,08,31,23,00,2XX NELSON ST,Central Business District,491399.07,5458157.81
Theft of Vehicle,2003,12,30,22,00,51XX EAST BOULEVARD,Shaughnessy,488731.34,5454106.28
Break and Enter Commercial,2003,02,24,21,00,11XX W 8TH AVE,Fairview,490520.96,5456859.3
Break and Enter Residential/Other,2003,09,27,06,00,1XX MAIN ST,Central Business District,492758.85,5459024.15
Break and Enter Residential/Other,2003,11,03,15,50,52XX CHAMBERS ST,Renfrew-Collingwood,496145.88,5453773.24
Theft of Vehicle,2003,01,13,20,00,51XX DUMFRIES ST,Kensington-Cedar Cottage,494611.07,5453968.49
Break and Enter Commercial,2003,02,26,03,07,11XX W 8TH AVE,Fairview,490530.38,5456859.05
Mischief,2003,07,22,00,00,6XX ROBSON ST,Central Business District,491286.39,5458734.97
Break and Enter Commercial,2003,03,17,01,00,11XX W BROADWAY AVE,Fairview,490457.27,5456759.2
Break and Enter Commercial,2003,06,03,03,40,11XX W BROADWAY AVE,Fairview,490457.27,5456759.2
Break and Enter Commercial,2003,06,29,18,00,11XX W BROADWAY AVE,Fairview,490457.27,5456759.2
Theft from Vehicle,2003,03,30,11,30,33XX W BROADWAY AVE,Kitsilano,487040.78,5456850.72
Mischief,2003,07,18,08,00,5XX E 41ST AVE,Sunset,493176.45,5453348.11
Break and Enter Commercial,2003,08,18,17,05,11XX W BROADWAY AVE,Fairview,490485.71,5456758.41
Break and Enter Residential/Other,2003,12,12,08,00,8XX PACIFIC ST,Central Business District,490448.65,5458166.92
Offence Against a Person,2003,06,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,12,12,05,00,53XX KNIGHT ST,Kensington-Cedar Cottage,494393.73,5453682.89
Break and Enter Residential/Other,2003,09,13,00,00,1XX MAIN ST,Strathcona,492764.56,5458956.62
Theft from Vehicle,2003,11,05,23,24,88XX CARTIER ST,Marpole,489970.47,5450333.7
Mischief,2003,01,17,21,30,57XX CLARENDON ST,Victoria-Fraserview,495984.52,5453214.04
Theft from Vehicle,2003,04,19,11,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Break and Enter Residential/Other,2003,12,29,21,22,1XX MILROSS AVE,Central Business District,492611.25,5458146.48
Break and Enter Commercial,2003,06,30,00,14,11XX W BROADWAY AVE,Fairview,490545.74,5456756.74
Theft from Vehicle,2003,06,08,22,00,10XX HARWOOD ST,West End,490409.6,5458362.94
Theft from Vehicle,2003,04,17,18,00,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,04,12,18,00,73XX MAIN ST,Sunset,492584.75,5451742.31
Offence Against a Person,2003,06,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,17,05,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Break and Enter Commercial,2003,12,15,05,37,11XX W BROADWAY AVE,Fairview,490561.28,5456747.16
Theft from Vehicle,2003,04,15,06,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79
Theft from Vehicle,2003,11,01,21,00,43XX KASLO ST,Renfrew-Collingwood,496575.82,5454809.31
Theft from Vehicle,2003,03,26,19,00,43XX KASLO ST,Renfrew-Collingwood,496575.94,5454828.48
Mischief,2003,05,09,21,30,E 41ST AVE / NANAIMO ST,Kensington-Cedar Cottage,495714.37,5453340.94
Offence Against a Person,2003,10,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,08,11,06,30,2XX NELSON ST,Central Business District,491400.0,5458169.6
Theft from Vehicle,2003,08,20,08,30,2XX NELSON ST,Central Business District,491400.0,5458169.6
Mischief,2003,04,01,17,00,14XX LABURNUM ST,Kitsilano,488991.7,5457822.51
Theft from Vehicle,2003,12,20,22,00,9XX W 22ND AVE,South Cambie,490769.25,5455440.84
Theft of Vehicle,2003,12,01,11,30,51XX DUMFRIES ST,Kensington-Cedar Cottage,494599.22,5453862.49
Theft of Vehicle,2003,08,18,17,30,51XX DUMFRIES ST,Kensington-Cedar Cottage,494599.22,5453862.49
Theft from Vehicle,2003,10,15,19,20,2XX NORTHERN ST,Strathcona,492819.84,5457675.2
Theft from Vehicle,2003,11,27,10,45,4XX NANAIMO ST,Hastings-Sunrise,495892.1,5458709.07
Theft from Vehicle,2003,01,08,11,00,43XX KNIGHT ST,Kensington-Cedar Cottage,494446.36,5454832.07
Mischief,2003,09,04,06,00,32XX ST CATHERINES ST,Kensington-Cedar Cottage,493768.95,5455916.2
Theft from Vehicle,2003,05,19,16,00,73XX MAPLE ST,Kerrisdale,488900.95,5451785.87
Theft of Vehicle,2003,08,29,01,30,51XX BLENHEIM ST,Dunbar-Southlands,486999.86,5454157.84
Break and Enter Residential/Other,2003,07,23,00,00,8XX PACIFIC ST,Central Business District,490448.65,5458166.92
Theft of Bicycle,2003,03,22,16,00,15XX SW MARINE DR,Marpole,489640.09,5450645.38
Theft of Bicycle,2003,03,21,17,00,15XX SW MARINE DR,Marpole,489640.09,5450645.38
Theft from Vehicle,2003,02,18,14,00,33XX W BROADWAY AVE,Kitsilano,487043.23,5456841.5
